,CPI STICKY,DATE
0,1.8218145,01/2014
1,1.7891863,02/2014
2,1.8208567,03/2014
3,2.0251612,04/2014
4,2.1282345,05/2014
5,2.1433409,06/2014
6,2.1008094,07/2014
7,1.9625042,08/2014
8,1.954047,09/2014
9,2.0060187,10/2014
10,2.0043657,11/2014
11,1.9711259,12/2014
12,1.985653,01/2015
13,1.9819969,02/2015
14,1.9991371,03/2015
15,2.0631236,04/2015
16,2.0668869,05/2015
17,2.1147326,06/2015
18,2.1414477,07/2015
19,2.1802398,08/2015
20,2.279431,09/2015
21,2.3462109,10/2015
22,2.4052606,11/2015
23,2.4436874,12/2015
24,2.4667222,01/2016
25,2.5442092,02/2016
26,2.531878,03/2016
27,2.537996,04/2016
28,2.5711572,05/2016
29,2.5689022,06/2016
30,2.5758512,07/2016
31,2.7228064,08/2016
32,2.6321032,09/2016
33,2.5095184,10/2016
34,2.5258013,11/2016
35,2.594944,12/2016
36,2.661562,01/2017
37,2.67446,02/2017
38,2.453344,03/2017
39,2.25217,04/2017
40,2.155911,05/2017
41,2.13853,06/2017
42,2.146769,07/2017
43,2.089832,08/2017
44,2.106697,09/2017
45,2.192819,10/2017
46,2.115031,11/2017
47,2.125472,12/2017
48,2.166829,01/2018
49,2.129934,02/2018
50,2.359611,03/2018
51,2.492147,04/2018
52,2.544964,05/2018
53,2.558656,06/2018
54,2.531541,07/2018
55,2.430733,08/2018
56,2.475069,09/2018
57,2.419846,10/2018
58,2.472599,11/2018
59,2.448984,12/2018
60,2.378344,01/2019
61,2.373979,02/2019
62,2.393918,03/2019
63,2.410959,04/2019
64,2.39962,05/2019
65,2.431727,06/2019
66,2.467932,07/2019
67,2.633395,08/2019
68,2.616559,09/2019
69,2.7342,10/2019
70,2.760463,11/2019
71,2.724503,12/2019
72,2.788599,01/2020
73,2.812655,02/2020
74,2.641068,03/2020
75,2.233555,04/2020
76,2.085757,05/2020
77,2.064379,06/2020
78,2.350691,07/2020
79,2.297196,08/2020
80,2.088195,09/2020
81,1.848308,10/2020
82,1.786708,11/2020
83,1.694452,12/2020
84,1.504532,01/2021
85,1.520784,02/2021
86,1.694673,03/2021
87,2.284027,04/2021
88,2.623896,05/2021
89,2.604632,06/2021
90,2.325734,07/2021
91,2.353165,08/2021
92,2.649506,09/2021
93,3.04294,10/2021
94,3.205069,11/2021
95,3.467011,12/2021
96,3.982987642,01/2022
97,4.297857761,02/2022
98,4.551814556,03/2022
99,4.723537922,04/2022
100,4.975575447,05/2022
101,5.425963402,06/2022
102,5.629465103,07/2022
103,5.990544319,08/2022
104,6.393735409,09/2022
105,6.367826462,10/2022
