,NASDAQCOM_PCH,DATE
0,5.46284,01/2012
1,6.74925,02/2012
2,3.65094,03/2012
3,-0.02683,04/2012
4,-4.43782,05/2012
5,-1.72577,06/2012
6,2.4474,07/2012
7,3.85438,08/2012
8,3.43381,09/2012
9,-2.44009,10/2012
10,-3.89662,11/2012
11,2.13453,12/2012
12,4.06557,01/2013
13,1.38519,02/2013
14,2.11263,03/2013
15,0.46922,04/2013
16,5.81369,05/2013
17,-0.68696,06/2013
18,4.18438,07/2013
19,2.25349,08/2013
20,2.50921,09/2013
21,3.13406,10/2013
22,2.84108,11/2013
23,2.99056,12/2013
24,1.92538,01/2014
25,1.08537,02/2014
26,1.83138,03/2014
27,-3.67258,04/2014
28,0.39007,05/2014
29,4.77259,06/2014
30,2.34003,07/2014
31,0.69248,08/2014
32,1.94307,09/2014
33,-3.25943,10/2014
34,6.46052,11/2014
35,0.95994,12/2014
36,-1.24664,01/2015
37,3.8632,02/2015
38,1.7254,03/2015
39,0.97085,04/2015
40,0.87205,05/2015
41,0.8671,06/2015
42,0.19255,07/2015
43,-2.91546,08/2015
44,-3.78181,09/2015
45,2.75973,10/2015
46,4.1703,11/2015
47,-0.82572,12/2015
48,-8.52738,01/2016
49,-3.19925,02/2016
50,6.52611,03/2016
51,2.89598,04/2016
52,-2.12447,05/2016
53,1.42009,06/2016
54,3.45446,07/2016
55,3.84255,08/2016
56,0.71144,09/2016
57,0.03492,10/2016
58,0.08707,11/2016
59,2.89991,12/2016
60,2.73977,01/2017
61,3.65515,02/2017
62,1.73924,03/2017
63,0.80487,04/2017
64,3.59781,05/2017
65,1.62302,06/2017
66,1.13086,07/2017
67,0.26568,08/2017
68,1.84874,09/2017
69,2.72138,10/2017
70,2.92342,11/2017
71,1.37867,12/2017
72,5.65707,01/2018
73,-1.61722,02/2018
74,2.09073,03/2018
75,-3.10968,04/2018
76,3.60222,05/2018
77,4.16675,06/2018
78,1.46137,07/2018
79,1.74515,08/2018
80,1.15398,09/2018
81,-5.71472,10/2018
82,-3.86604,11/2018
83,-5.82899,12/2018
84,2.4267,01/2019
85,6.45336,02/2019
86,2.68219,03/2019
87,4.7933,04/2019
88,-2.37951,05/2019
89,0.26442,06/2019
90,4.85774,07/2019
91,-3.59104,08/2019
92,2.23447,09/2019
93,-0.10413,10/2019
94,5.42498,11/2019
95,3.06442,12/2019
96,5.18043,01/2020
97,2.00891,02/2020
98,-17.48244,03/2020
99,6.69311,04/2020
100,9.80714,05/2020
101,8.06439,06/2020
102,6.70624,07/2020
103,6.78511,08/2020
104,-1.10246,09/2020
105,3.1253,10/2020
106,3.14141,11/2020
107,6.99133,12/2020
108,4.4976,01/2021
109,4.17695,02/2021
110,-4.13901,03/2021
111,5.55575,04/2021
112,-2.75355,05/2021
113,4.28688,06/2021
114,3.84406,07/2021
115,1.48537,08/2021
116,1.12423,09/2021
117,-0.962,10/2021
118,6.29021,11/2021
119,-2.15303,12/2021
120,-6.09427,01/2022
121,-4.35368,02/2022
122,-1.98194,03/2022
123,-1.68168,04/2022
124,-11.67996,05/2022
125,-3.4727,06/2022
126,1.78399,07/2022
127,8.15331,08/2022
128,-9.28708,09/2022
129,-5.27373,10/2022
