DATE,BAMLHYH0A0HYM2TRIV_PCH
2013-01-01,1.72599
2013-02-01,0.01382
2013-03-01,1.12919
2013-04-01,1.08526
2013-05-01,1.56912
2013-06-01,-2.73934
2013-07-01,0.47964
2013-08-01,0.01509
2013-09-01,0.55247
2013-10-01,1.62103
2013-11-01,1.18089
2013-12-01,0.65723
2014-01-01,1.07487
2014-02-01,0.87364
2014-03-01,1.04621
2014-04-01,0.66026
2014-05-01,0.88867
2014-06-01,0.99437
2014-07-01,-0.00757
2014-08-01,-0.27603
2014-09-01,-0.25902
2014-10-01,-0.67733
2014-11-01,0.25513
2014-12-01,-2.15708
2015-01-01,0.61587
2015-02-01,1.83100
2015-03-01,0.33258
2015-04-01,1.13435
2015-05-01,0.33227
2015-06-01,-0.67225
2015-07-01,-0.98550
2015-08-01,-1.70481
2015-09-01,-0.65619
2015-10-01,-0.38122
2015-11-01,-0.62991
2015-12-01,-2.99526
2016-01-01,-2.13674
2016-02-01,-1.42243
2016-03-01,5.56606
2016-04-01,2.98030
2016-05-01,1.78585
2016-06-01,1.39629
2016-07-01,2.68273
2016-08-01,1.78136
2016-09-01,0.79624
2016-10-01,1.35230
2016-11-01,-1.12952
2016-12-01,1.71922
2017-01-01,1.68798
2017-02-01,1.08286
2017-03-01,-0.04782
2017-04-01,1.09034
2017-05-01,1.00766
2017-06-01,0.64254
2017-07-01,0.50412
2017-08-01,0.30194
2017-09-01,0.78066
2017-10-01,0.71545
2017-11-01,-0.37884
2017-12-01,0.34350
2018-01-01,0.88360
2018-02-01,-1.16087
2018-03-01,-0.26257
2018-04-01,0.49523
2018-05-01,-0.01179
2018-06-01,0.57344
2018-07-01,0.20423
2018-08-01,1.07922
2018-09-01,0.55404
2018-10-01,-0.57101
2018-11-01,-1.27691
2018-12-01,-1.32255
2019-01-01,1.80463
2019-02-01,2.32688
2019-03-01,1.11558
2019-04-01,1.57879
2019-05-01,-0.06925
2019-06-01,0.85292
2019-07-01,1.09099
2019-08-01,-0.12546
2019-09-01,1.22393
2019-10-01,-0.06923
2019-11-01,0.32095
2019-12-01,1.37270
2020-01-01,1.26101
2020-02-01,0.07161
2020-03-01,-11.04088
2020-04-01,-0.49390
2020-05-01,3.14480
2020-06-01,5.01153
2020-07-01,1.30316
2020-08-01,2.70334
2020-09-01,-0.06684
2020-10-01,0.59938
2020-11-01,2.26807
2020-12-01,2.24744
2021-01-01,1.08780
2021-02-01,0.79495
2021-03-01,-0.55995
2021-04-01,1.13156
2021-05-01,0.39517
2021-06-01,0.94626
2021-07-01,0.87781
2021-08-01,-0.02646
2021-09-01,0.94921
2021-10-01,-0.45028
2021-11-01,-0.01287
2021-12-01,0.23768
2022-01-01,-0.56375
2022-02-01,-2.46499
2022-03-01,-1.34038
2022-04-01,-1.61209
2022-05-01,-3.22395
2022-06-01,-2.03930
2022-07-01,-0.40364
2022-08-01,3.38678
2022-09-01,-3.70693
2022-10-01,-1.52896
2022-11-01,.
